Block,Row,Col,X,Y,Label,X_start,X_stop,Y_start,Y_stop
B5,1,1,19.76,104.0,AG34XF6,16.341250000000002,23.17875,100.0,108.0
B5,1,2,26.59,104.0,LD20-11748,23.17125,30.00875,100.0,108.0
B5,1,3,33.43,104.0,AG40XFF5,30.01125,36.84875,100.0,108.0
B5,1,4,40.27,104.0,LD21-5253,36.85125,43.688750000000006,100.0,108.0
B5,2,0,12.92,114.0,AG35XF5,9.501249999999999,16.33875,110.0,118.0
B5,2,1,19.76,114.0,LD21-5944,16.341250000000002,23.17875,110.0,118.0
B5,2,2,26.59,114.0,AG36XF4,23.17125,30.00875,110.0,118.0
B5,2,3,33.43,114.0,LD21-3090,30.01125,36.84875,110.0,118.0
B5,2,4,40.27,114.0,AG38XF6,36.85125,43.688750000000006,110.0,118.0
B5,3,0,12.92,124.0,LD17-10473F,9.501249999999999,16.33875,120.0,128.0
B5,3,1,19.76,124.0,AG40XFF5,16.341250000000002,23.17875,120.0,128.0
B5,3,2,26.59,124.0,LD21-5665,23.17125,30.00875,120.0,128.0
B5,3,3,33.43,124.0,AG34XF6,30.01125,36.84875,120.0,128.0
B5,3,4,40.27,124.0,LD21-5253,36.85125,43.688750000000006,120.0,128.0
B5,4,0,12.92,134.0,AG35XF5,9.501249999999999,16.33875,130.0,138.0
B5,4,1,19.76,134.0,LD20-11748,16.341250000000002,23.17875,130.0,138.0
B5,4,2,26.59,134.0,AG36XF4,23.17125,30.00875,130.0,138.0
B5,4,3,33.43,134.0,LD07-3395bf,30.01125,36.84875,130.0,138.0
B5,4,4,40.27,134.0,AG40XFF5,36.85125,43.688750000000006,130.0,138.0
B5,5,0,12.92,144.0,LD21-5944,9.501249999999999,16.33875,140.0,148.0
B5,5,1,19.76,144.0,AG38XF6,16.341250000000002,23.17875,140.0,148.0
B5,5,2,26.59,144.0,LD17-10473F,23.17125,30.00875,140.0,148.0
B5,5,3,33.43,144.0,AG34XF6,30.01125,36.84875,140.0,148.0
B5,5,4,40.27,144.0,LD21-3090,36.85125,43.688750000000006,140.0,148.0
B5,6,0,12.92,154.0,AG34XF6,9.501249999999999,16.33875,150.0,158.0
B5,6,1,19.76,154.0,LD21-7234,16.341250000000002,23.17875,150.0,158.0
B5,6,2,26.59,154.0,AG36XF4,23.17125,30.00875,150.0,158.0
B5,6,3,33.43,154.0,LD21-3090,30.01125,36.84875,150.0,158.0
B5,6,4,40.27,154.0,AG35XF5,36.85125,43.688750000000006,150.0,158.0
B5,7,0,12.92,164.0,LD17-10473F,9.501249999999999,16.33875,160.0,168.0
B5,7,1,19.76,164.0,AG40XFF5,16.341250000000002,23.17875,160.0,168.0
B5,7,2,26.59,164.0,LD21-7234,23.17125,30.00875,160.0,168.0
B5,7,3,33.43,164.0,AG38XF6,30.01125,36.84875,160.0,168.0
B5,7,4,40.27,164.0,LD21-5665,36.85125,43.688750000000006,160.0,168.0
B6,0,0,48.36,94.0,AG36XF4,44.94125,51.77875,90.0,98.0
B6,0,1,55.19,94.0,LG3216,51.771249999999995,58.60875,90.0,98.0
B6,0,2,62.03,94.0,AG29XF4,58.61125,65.44875,90.0,98.0
B6,0,3,68.87,94.0,LG3216,65.45125,72.28875000000001,90.0,98.0
B6,0,4,75.71,94.0,AG40XFF5,72.29124999999999,79.12875,90.0,98.0
B6,1,0,48.36,104.0,LG3216,44.94125,51.77875,100.0,108.0
B6,1,1,55.19,104.0,AG38XF6,51.771249999999995,58.60875,100.0,108.0
B6,1,2,62.03,104.0,LG3216,58.61125,65.44875,100.0,108.0
B6,1,3,68.87,104.0,AG29XF5,65.45125,72.28875000000001,100.0,108.0
B6,1,4,75.71,104.0,LG3216,72.29124999999999,79.12875,100.0,108.0
B6,2,0,48.36,114.0,AG34XF6,44.94125,51.77875,110.0,118.0
B6,2,1,55.19,114.0,LG3216,51.771249999999995,58.60875,110.0,118.0
B6,2,2,62.03,114.0,AG35XF5,58.61125,65.44875,110.0,118.0
B6,2,3,68.87,114.0,LG3216,65.45125,72.28875000000001,110.0,118.0
B6,2,4,75.71,114.0,AG40XFF5,72.29124999999999,79.12875,110.0,118.0
B6,3,0,48.36,124.0,LG3216,44.94125,51.77875,120.0,128.0
B6,3,1,55.19,124.0,AG35XF5,51.771249999999995,58.60875,120.0,128.0
B6,3,2,62.03,124.0,LG3216,58.61125,65.44875,120.0,128.0
B6,3,3,68.87,124.0,AG36XF4,65.45125,72.28875000000001,120.0,128.0
B6,3,4,75.71,124.0,LG3216,72.29124999999999,79.12875,120.0,128.0
B6,4,0,48.36,134.0,AG29XF4,44.94125,51.77875,130.0,138.0
B6,4,1,55.19,134.0,LG3216,51.771249999999995,58.60875,130.0,138.0
B6,4,2,62.03,134.0,AG29XF5,58.61125,65.44875,130.0,138.0
B6,4,3,68.87,134.0,LG3216,65.45125,72.28875000000001,130.0,138.0
B6,4,4,75.71,134.0,AG38XF6,72.29124999999999,79.12875,130.0,138.0
B6,5,0,48.36,144.0,LG3216,44.94125,51.77875,140.0,148.0
B6,5,1,55.19,144.0,AG34XF6,51.771249999999995,58.60875,140.0,148.0
B6,5,2,62.03,144.0,LG3216,58.61125,65.44875,140.0,148.0
B6,5,3,68.87,144.0,AG29XF5,65.45125,72.28875000000001,140.0,148.0
B6,5,4,75.71,144.0,LG3216,72.29124999999999,79.12875,140.0,148.0
B6,6,0,48.36,154.0,AG35XF5,44.94125,51.77875,150.0,158.0
B6,6,1,55.19,154.0,LG3216,51.771249999999995,58.60875,150.0,158.0
B6,6,2,62.03,154.0,AG36XF4,58.61125,65.44875,150.0,158.0
B6,6,3,68.87,154.0,LG3216,65.45125,72.28875000000001,150.0,158.0
B6,6,4,75.71,154.0,AG34XF6,72.29124999999999,79.12875,150.0,158.0
B6,7,0,48.36,164.0,LG3216,44.94125,51.77875,160.0,168.0
B6,7,1,55.19,164.0,AG38XF6,51.771249999999995,58.60875,160.0,168.0
B6,7,2,62.03,164.0,LG3216,58.61125,65.44875,160.0,168.0
B6,7,3,68.87,164.0,AG40XFF5,65.45125,72.28875000000001,160.0,168.0
